oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Sony,CMD Z7,2001,Discontinued,,95.0,Mini-SIM,"Grayscale graphic, 4 shades",,"96 x 92 pixels, 6 lines, 1:1 ratio",V1,
Sony,CMD J70,2001,Discontinued,,92.0,Mini-SIM,"Grayscale graphic, 4 shades",,"96 x 92 pixels, 6 lines, 1:1 ratio",V1,
Sony,CMD J7,2001,Discontinued,,92.0,Mini-SIM,"Grayscale graphic, 4 shades",,"96 x 92 pixels, 6 lines, 1:1 ratio",V1,
Sony,CMD MZ5,,Discontinued,,110.0,Mini-SIM,"Grayscale graphic, 4 shades",,"96 x 72 pixels, 5 lines, 4:3 ratio",V1,
Sony,CMD J6,2001,Discontinued,,82.0,Mini-SIM,"Grayscale graphic, 4 shades",,"96 x 92 pixels, 6 lines, 1:1 ratio",V1,
Sony,CMD Z1 plus,1997,Discontinued,,195.0,Mini-SIM,Monochrome graphic,,"97 x 32 pixels, 5 lines",V1,
Sony,CMD Z1,1997,Discontinued,,220.0,Mini-SIM,Monochrome graphic,,"97 x 32 pixels, 5 lines",V1,
Sony,CM-DX 2000,1997,Discontinued,,185.0,Mini-SIM,Monochrome graphic,,"97 x 33 pixels, 4 x 16 chars",V1,
Sony,CM-DX 1000,1997,Discontinued,,235.0,Mini-SIM,Monochrome graphic,,4 x 16 chars,V1,
Sony Ericsson,Z700,2002,Cancelled,,95.0,Mini-SIM,"STN, 256 colors",,,V1,
Sony Ericsson,Windows Phone 7,,Cancelled,,,Mini-SIM,"TFT capacitive touchscreen, 16M colors",,,Accelerometer,Microsoft Windows Phone 7
Spice,Mi-285 Stellar,2012,Discontinued,,79.0,Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 256K colors",2.8,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",V1,Android 2.3 (Gingerbread)
T-Mobile,Revvlry+,2019,Available. Released 2019,,,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",6.24,"1080 x 2270 pixels, 19:9 ratio (~403 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
T-Mobile,Revvlry,2019,Available. Released 2019,,,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",5.7,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
TCL,10 5G,2020,,,210.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 10
TCL,10 Pro,2020,Available. Released 2020,,177.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.47,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
TCL,10L,2020,Available. Released 2020,,180.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 10
