oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Xiaomi,Mi 10 5G,2020,Available. Released 2020,,208.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.67,"1080 x 2340 pixels, 19.5:9 ratio (~386 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",Android 10
Xiaomi,Redmi 8A Pro,2020,Available. Released 2020,,188.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.22,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Accelerometer, proximity, compass",Android 9.0 (Pie)
Xiaomi,Redmi 8A Dual,2020,Available. Released 2020,,188.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.22,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Accelerometer, proximity, compass",Android 9.0 (Pie)
Xiaomi,Poco X2,2020,Available. Released 2020,,208.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi K30,2019,Available. Released 2019,,208.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi K30 5G,2019,Available. Released 2020,,208.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.67,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi Note 8T,2019,Available. Released 2019,,200.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.3,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi Note 10 Pro,2019,Available. Released 2019,,208.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.47,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi Note 10,2019,Available. Released 2019,,208.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.47,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi CC9 Pro,2019,Available. Released 2019,,208.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.47,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Watch Color,2020,Available. Released 2020,,,No,"AMOLED capacitive touchscreen, 16M colors",1.39,"454 x 454 pixels, 1:1 ratio (~462 ppi density)","Accelerometer, gyro, heart rate, barometer",Proprietary wearable platform
Xiaomi,Mi Watch,2019,Available. Released 2019,,44.0,eSIM,"Super AMOLED capacitive touchscreen, 16M colors",1.78,368 x 448 pixels (~326 ppi density),"Accelerometer, gyro, heart rate, barometer",Proprietary wearable platform
Xiaomi,Redmi 8,2019,Available. Released 2019,,188.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.22,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
Xiaomi,Redmi 8A,2019,Available. Released 2019,,188.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.22,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Accelerometer, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi Mix Alpha,2019,,,241.0,"Dual SIM (Nano-SIM, dual stand-by)","Flexible Super AMOLED capacitive touchscreen, 16M colors",7.92,2088 x 2250 pixels (~388 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",Android 10
Xiaomi,Mi 9 Pro 5G,2019,Available. Released 2019,,196.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Mi 9 Pro,2019,Available. Released 2019,,196.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Redmi K20 Pro Premium,2019,Available. Released 2019,,191.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Xiaomi,Mi 9 Lite,2019,Available. Released 2019,,179.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Redmi Note 8 Pro,2019,Available. Released 2019,,200.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Black Shark 2 Pro,2019,Available. Released 2019,,205.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi A3,2019,Available. Released 2019,,173.8,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.09,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Redmi 7A,2019,Available. Released 2019,,165.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.45,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Accelerometer, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi CC9e,2019,Available. Released 2019,,173.8,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.01,"720 x 1560 pixels, 19.5:9 ratio (~286 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi CC9,2019,Available. Released 2019,,179.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Redmi Note 8,2019,Available. Released 2019,,190.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.3,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi 9T Pro,2019,Available. Released 2019,,191.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi 9T,2019,Available. Released 2019,,191.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Redmi K20,2019,Available. Released 2019,,191.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Redmi K20 Pro,2019,Available. Released 2019,,191.0,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Redmi Note 7S,2019,Available. Released 2019,,186.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.3,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Redmi Y3,2019,Available. Released 2019,,180.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.26,"720 x 1520 pixels, 19:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Redmi 5 Plus (Redmi Note 5),2018,Available. Released 2018,,180.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.99,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 7.1.2 (Nougat)
Xiaomi,Mi Max 4,,Cancelled,,,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",7.2,1080 x 2310 pixels (~354 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi Max 4 Pro,,Cancelled,,,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",7.2,1080 x 2310 pixels (~354 ppi density),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Xiaomi,Mi 9X,,Cancelled,,,"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors",6.39,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Fingerprint, accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Yezz,Max 1 Plus,2019,Available. Released 2019,,104.9,"Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors",5.45,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Accelerometer,Android 9.1 Pie (Go edition)
Yezz,LIV1,2019,Available. Released 2019,,133.3,"Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors",5.0,"480 x 960 pixels, 18:9 ratio (~215 ppi density)",Accelerometer,Android 9.1 Pie (Go edition)
ZTE,nubia Red Magic 5G Lite,2020,Available. Released 2020,,215.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.65,"1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
ZTE,nubia Play,2020,Available. Released 2020,,210.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.65,"1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
ZTE,Axon 11 4G,2020,Available. Released 2020,,168.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.47,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
ZTE,Axon 11 5G,2020,Available. Released 2020,,168.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.47,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
ZTE,nubia Red Magic 5G,2020,Available. Released 2020,,218.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.65,"1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
ZTE,Axon 10s Pro 5G,2020,Discontinued,,175.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.47,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
ZTE,Blade Max View,2019,Available. Released 2019,,160.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",6.0,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 7.1.1 (Nougat)
ZTE,Blade A7 Prime,2019,Available. Released 2019,,165.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.09,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
ZTE,Blade 10 Prime,2019,Available. Released 2019,,165.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.3,"1080 x 2280 pixels, 19:9 ratio (~400 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
ZTE,Blade 20,2019,Available. Released 2019,,190.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.49,"720 x 1560 pixels, 19.5:9 ratio (~265 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
ZTE,nubia Red Magic 3s,2019,Available. Released 2019,,215.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.65,"1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
ZTE,nubia Z20,2019,Available. Released 2019,,186.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.42,"1080 x 2340 pixels, 19.5:9 ratio (~401 ppi density)","Dual fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
ZTE,nubia X 5G,2019,Cancelled,,,"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.26,"1080 x 2280 pixels, 19:9 ratio (~403 ppi density)","Dual fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
ZTE,Blade A5 (2019),2019,Available. Released 2019,,157.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.45,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Accelerometer, proximity",Android 9.0 (Pie)
ZTE,Blade A3 (2019),2019,Available. Released 2019,,144.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.0,"480 x 960 pixels, 18:9 ratio (~215 ppi density)",Accelerometer,Android 9.0 Pie (Go edition)
ZTE,Blade L8,2019,Available. Released 2019,,144.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.0,"480 x 960 pixels, 18:9 ratio (~215 ppi density)",Accelerometer,Android 9.0 Pie (Go edition)
ZTE,nubia Red Magic 3,2019,Available. Released 2019,,215.0,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.65,"1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
ZTE,Axon 10 Pro,2019,Available. Released 2019,,175.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.47,"1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
ZTE,Blade V10 Vita,2019,Available. Released 2019,,150.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.26,"720 x 1520 pixels, 19:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
ZTE,Blade A7 Vita,2018,Available. Released 2018,,135.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.45,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 8.1 (Oreo)
ZTE,Blade A7,2019,Available. Released 2019,,146.0,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors",6.01,"720 x 1560 pixels, 19.5:9 ratio (~286 ppi density)","Accelerometer, proximity",Android 9.0 (Pie)
ZTE,V889M,2012,Discontinued,,,Dual SIM (Mini-SIM),TFT capacitive touchscreen,4.0,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","Accelerometer, gyro, proximity, compass",Android 4.0 (Ice Cream Sandwich)
ZTE,N880E,2012,Discontinued,,130.0,Mini-SIM,TFT capacitive touchscreen,4.0,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","Accelerometer, proximity, compass",Android 2.3 (Gingerbread)
ZTE,Skate Acqua,2012,Discontinued,,,Mini-SIM,"TFT capacitive touchscreen, 65K colors",4.0,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","Accelerometer, proximity, compass",Android 4.0 (Ice Cream Sandwich)
ZTE,Sage,2010,Discontinued,,80.0,Mini-SIM,"TFT resistive touchscreen, 65K colors",,,V1,
